Platform,Doctype,URL,From,To
Facebook,Terms of Service,http://www.thefacebook.com/terms.php,20040611,20050831
Facebook,Terms of Service,https://www.facebook.com/terms.php,20051126,20111129
Facebook,Terms of Service,https://www.facebook.com/legal/terms,20111130,today
Facebook,Community Guidelines,http://www.facebook.com/codeofconduct.php,20070830,20100820
Facebook,Community Guidelines,https://www.facebook.com/communitystandards/,20110127,20150314
Facebook,Privacy Policy,http://www.thefacebook.com/policy.php,20040613,20050624
Facebook,Privacy Policy,http://www.facebook.com/policy.php,20050809,20110906
Facebook,Privacy Policy,http://www.facebook.com/full_data_use_policy,20110915,20150120
Facebook,Privacy Policy,http://www.facebook.com/policy.php,20150130,today
YouTube,Terms of Service,http://www.youtube.com/terms.php,20050428,20051102
YouTube,Terms of Service,http://youtube.com/t/terms,20051217,today
YouTube,Privacy Policy,http://www.youtube.com/privacy.php,20050428,20051102
YouTube,Privacy Policy,http://youtube.com/t/privacy,20060409,20120215
YouTube,Privacy Policy,http://www.google.com/intl/en/policies/privacy/,20120727,2018022
YouTube,Privacy Policy,https://policies.google.com/privacy?hl=en,20180323,today 
Twitter,Terms of Service,http://twitter.com/tos,20061109,20170618
Twitter,Terms of Service,https://twitter.com/en/tos,20170619,today
Twitter,Privacy Policy,https://twitter.com/privacy,20081119,20170613
Twitter,Privacy Policy,https://twitter.com/en/privacy,20170614,today
Soundcloud,Terms of Service,http://soundcloud.com/terms-of-use,20081012,today
Soundcloud,Community Guidelines,https://soundcloud.com/community-guidelines,20081026,today 
Soundcloud,Privacy Policy,http://soundcloud.com/pages/privacy,20100501,today
Instagram,Terms of Service,http://instagram.com/about/legal/terms/,20111122,20141030
Instagram,Terms of Service,https://help.instagram.com/478745558852511,20141031,20180422
Instagram,Terms of Service,https://help.instagram.com/581066165581870,20180423,today
Instagram ,Community Guidelines,http://help.instagram.com/customer/portal/articles/262387-community-guidelines,20120503,20121006
Instagram ,Community Guidelines,https://help.instagram.com/477434105621119,20121230,today
Instagram,Privacy Policy,http://instagram.com/legal/privacy,20110718,20121208
Instagram,Privacy Policy,http://instagram.com/about/legal/privacy/updated/,20121218,20130312
Instagram,Privacy Policy,https://help.instagram.com/155833707900388,20130317,20180422
Instagram,Privacy Policy,https://help.instagram.com/519522125107875,20180423,today
Vimeo,Terms of Service,https://vimeo.com/terms,20060620,today
Vimeo,Community Guidelines,https://vimeo.com/help/guidelines,20120402,today 
Vimeo,Privacy Policy,https://vimeo.com/privacy,20060120,today
Pornhub,Terms of Service,https://www.pornhub.com/information#terms,20100530,20200804
Pornhub,Terms of Service,https://www.pornhub.com/information/terms,20200805,today
Pornhub,Privacy Policy,http://www.pornhub.com/privacy.php,20071011,20080502
Pornhub,Privacy Policy,http://www.pornhub.com/information#privacy,20100930,20201129
Pornhub,Privacy Policy,https://www.pornhub.com/information/privacy,20200805,today
